state,month,lockdown_period,avg_severity
NH,3,before_lockdown,1.3919496855345912
NM,12,after_lockdown,1.1794932512431922
NY,10,after_lockdown,0.5268958618102478
NY,11,after_lockdown,0.5201432996721527
OH,10,after_lockdown,0.7247561890472618
RI,8,after_lockdown,1.149471974004874
SC,7,before_lockdown,1.1896027201145312
TX,7,after_lockdown,0.9726904922454485
UT,2,after_lockdown,0.9183877082709767
UT,8,before_lockdown,1.131355030844501
VA,10,before_lockdown,1.088013944994743
VT,1,before_lockdown,1.4853709508881923
WA,12,before_lockdown,1.1046836928075083
WY,1,before_lockdown,1.582453761983151
WY,9,after_lockdown,1.3085553997194952
AL,2,after_lockdown,0.9846079066753078
CO,1,after_lockdown,1.100983290100742
DE,8,after_lockdown,1.1702281781963058
FL,2,before_lockdown,1.01499103195282
GA,11,before_lockdown,1.0548738689333699
ID,6,before_lockdown,1.466986155484558
IL,9,before_lockdown,0.9975627647239772
KS,2,after_lockdown,0.9567383918459796
KY,6,before_lockdown,1.4585771762984638
KY,11,after_lockdown,0.9514433752775722
LA,10,after_lockdown,0.8100874243443175
MD,10,after_lockdown,0.9667025629980616
MI,3,before_lockdown,1.4017031838411502
MS,4,before_lockdown,1.4926919093106226
MT,1,before_lockdown,1.7304855035168982
MT,11,after_lockdown,1.4210312626877792
NM,3,before_lockdown,1.5603950367181565
NV,11,before_lockdown,1.3039255362201538
OH,5,after_lockdown,1.060911997307757
OK,11,after_lockdown,0.9783111625216888
OR,6,after_lockdown,1.2634525099313831
OR,12,after_lockdown,1.1419880880338886
PA,5,before_lockdown,1.2640677131149376
PA,8,after_lockdown,1.2764526696936604
SC,6,after_lockdown,1.1276045036883655
TN,9,after_lockdown,0.9744622782506985
WA,3,after_lockdown,1.0955386601635346
WA,9,before_lockdown,1.1173414331961153
AR,12,after_lockdown,1.1954853273137698
AZ,2,after_lockdown,0.7672460409424489
AZ,11,after_lockdown,1.0202739726027397
CA,3,before_lockdown,1.1589735458125214
CO,2,after_lockdown,1.0387862885592223
CO,8,after_lockdown,1.2647787062828846
CT,9,after_lockdown,1.3619843721606397
DC,11,before_lockdown,1.061492399815753
DE,4,after_lockdown,1.2679425837320575
DE,7,after_lockdown,1.187181790955376
GA,1,after_lockdown,0.9132687542239243
IA,9,after_lockdown,0.839344262295082
KS,12,after_lockdown,1.1982916412446614
