state,month,year,lockdown_period,avg_congestion
MN,6,2019,before_lockdown,1.0292224510813595
MN,11,2018,before_lockdown,1.351138223478649
MO,2,2018,before_lockdown,1.4895558710200771
MO,4,2019,before_lockdown,1.3632248329381331
MT,7,2021,after_lockdown,1.5072754641244355
MT,8,2020,after_lockdown,1.1592703512115436
NC,1,2020,after_lockdown,1.0231335436382756
NC,2,2021,after_lockdown,1.2750759878419453
ND,7,2021,after_lockdown,0.7953281423804227
NE,1,2018,before_lockdown,1.5325969827586208
NE,1,2019,before_lockdown,1.3634782608695653
NE,9,2021,after_lockdown,1.0926216640502355
NJ,2,2021,after_lockdown,0.660459892415913
NJ,6,2021,after_lockdown,1.1054713995026
NJ,11,2019,before_lockdown,0.8153474459272895
NM,5,2018,before_lockdown,1.4446057087566522
NV,7,2019,before_lockdown,1.312803889789303
NV,11,2020,after_lockdown,0.7078039927404719
OH,2,2019,before_lockdown,1.1845002201673271
OH,3,2018,before_lockdown,1.5011344042109085
OH,11,2021,after_lockdown,1.2063460780449349
OK,6,2019,before_lockdown,0.9262135922330097
OR,1,2022,after_lockdown,1.8
PA,8,2018,before_lockdown,1.527295162882527
SC,1,2021,after_lockdown,1.1841897233201581
SC,3,2021,after_lockdown,0.8704151109158796
SD,1,2021,after_lockdown,0.9834905660377359
SD,6,2021,after_lockdown,1.1087801087801088
SD,7,2019,before_lockdown,1.1128133704735377
UT,2,2018,before_lockdown,1.4112259026520395
UT,12,2021,after_lockdown,0.9786421016717843
WI,11,2021,after_lockdown,0.9340252038547072
WI,12,2019,before_lockdown,2.0
WV,8,2018,before_lockdown,1.7316258351893097
AL,3,2018,before_lockdown,1.326158940397351
AL,7,2019,before_lockdown,0.9824213212361781
AL,11,2018,before_lockdown,1.3471997845988153
AR,7,2018,before_lockdown,1.7650572424091588
AR,9,2020,after_lockdown,0.9106217616580311
AZ,8,2018,before_lockdown,1.1259031970701772
CA,1,2022,after_lockdown,1.0
CA,2,2020,after_lockdown,0.7467442645074224
CA,7,2020,after_lockdown,0.7343370037432717
CA,10,2021,after_lockdown,1.141275259202282
CO,12,2019,before_lockdown,1.0808220360936016
CT,7,2021,after_lockdown,1.5284877197356939
DC,2,2021,after_lockdown,0.3056720591172359
FL,1,2020,after_lockdown,0.5713716743667357
FL,5,2019,before_lockdown,0.7790490768200516
FL,11,2020,after_lockdown,0.5937884198817399
FL,12,2017,before_lockdown,1.8
GA,9,2021,after_lockdown,1.181653712141517
GA,12,2017,before_lockdown,1.5
GA,12,2018,before_lockdown,0.9182613768961494
IA,2,2018,before_lockdown,1.4060044328027403
IA,10,2021,after_lockdown,0.9368258859784283
ID,2,2018,before_lockdown,1.6464788732394366
ID,6,2018,before_lockdown,1.6660789844851904
ID,11,2019,before_lockdown,0.906785980611484
IL,6,2020,after_lockdown,0.9209780297661233
IL,9,2021,after_lockdown,1.2938828822291562
IN,9,2021,after_lockdown,1.3310308182784272
IN,11,2018,before_lockdown,1.567251461988304
KY,2,2018,before_lockdown,1.5613865220759102
KY,5,2018,before_lockdown,1.5963006957407093
KY,8,2020,after_lockdown,1.0792540792540792
KY,10,2019,before_lockdown,0.9402610441767069
MA,2,2019,before_lockdown,1.2118915277075963
MA,2,2020,after_lockdown,0.8840782122905028
MA,3,2019,before_lockdown,1.2851076436895121
ME,2,2018,before_lockdown,1.4659848821698533
ME,3,2018,before_lockdown,1.4507192328183272
MI,2,2019,before_lockdown,1.2640320733104238
MI,6,2020,after_lockdown,0.9285918309054556
MI,9,2020,after_lockdown,0.852926628194559
MI,10,2021,after_lockdown,1.254355400696864
MN,2,2019,before_lockdown,1.261332099907493
MO,7,2021,after_lockdown,1.2768660667019587
MT,4,2020,after_lockdown,1.2408223201174744
NC,1,2018,before_lockdown,1.2518867086921779
NC,6,2020,after_lockdown,1.0208978328173375
ND,10,2018,before_lockdown,1.2082957619477006
NE,3,2019,before_lockdown,1.5616412922391385
NE,3,2021,after_lockdown,1.1147540983606556
NE,8,2019,before_lockdown,0.8881612090680101
NE,12,2018,before_lockdown,1.463560885608856
NH,6,2020,after_lockdown,1.0691489361702127
NJ,5,2018,before_lockdown,1.3633837185657154
NV,7,2018,before_lockdown,1.4761450381679388
NY,6,2019,before_lockdown,0.8646596796142001
NY,7,2018,before_lockdown,1.179970487512877
OH,9,2019,before_lockdown,0.9066346755685375
OH,12,2019,before_lockdown,0.8475877192982456
OK,2,2018,before_lockdown,1.4841609589041096
OK,7,2018,before_lockdown,1.6727568006496143
PA,6,2019,before_lockdown,1.1169366891851498
PA,7,2021,after_lockdown,1.3424325144070366
RI,8,2020,after_lockdown,1.0310734463276836
RI,9,2020,after_lockdown,0.7381489841986456
SD,2,2020,after_lockdown,1.0070754716981132
SD,6,2018,before_lockdown,1.7290108063175396
SD,6,2020,after_lockdown,0.9730127576054955
TN,8,2018,before_lockdown,1.4657534246575343
TX,3,2019,before_lockdown,1.1749632285346572
UT,7,2021,after_lockdown,1.1410788381742738
VA,7,2020,after_lockdown,0.9795008912655971
VA,8,2020,after_lockdown,1.0783668995752842
VA,9,2021,after_lockdown,1.2011383039271486
VT,6,2018,before_lockdown,1.6362240982348426
WI,10,2021,after_lockdown,1.0552291421856639
WY,3,2018,before_lockdown,1.6971677559912854
WY,5,2021,after_lockdown,1.10912343470483
AR,5,2021,after_lockdown,0.9361702127659575
AZ,9,2019,before_lockdown,0.7274258050936645
CO,12,2018,before_lockdown,1.4162005163511187
CO,12,2020,after_lockdown,1.1235813366960907
CT,4,2019,before_lockdown,1.3902885936784242
CT,9,2021,after_lockdown,1.5005187490736625
DC,5,2019,before_lockdown,0.9143559143559143
DC,9,2020,after_lockdown,0.530562347188264
DE,3,2020,after_lockdown,0.8695652173913043
IA,6,2021,after_lockdown,1.0094594594594595
IA,12,2018,before_lockdown,1.5541338582677164
ID,6,2019,before_lockdown,1.2651894210150108
ID,11,2020,after_lockdown,1.3008948545861299
IL,5,2021,after_lockdown,1.3603188322289446
IL,12,2019,before_lockdown,0.6930632289748312
KS,1,2018,before_lockdown,1.4893177119228118
KS,4,2021,after_lockdown,1.1321909424724603
KS,5,2019,before_lockdown,1.3409272581934453
KS,8,2019,before_lockdown,0.8407526388251492
KS,10,2020,after_lockdown,0.8572122389509471
KS,12,2018,before_lockdown,1.4487651077246453
KY,9,2019,before_lockdown,0.9771279675738275
